words,count,features
performance,4,themes_keyword
track,4,themes_keyword
work,4,themes_keyword
year,3,themes_keyword
century,2,themes_keyword
delight,2,themes_keyword
fan,1,themes_keyword
treat,1,themes_keyword
world,1,themes_keyword
water,1,themes_keyword
time,1,themes_keyword
appreciation,1,themes_keyword
eye,1,themes_keyword
gift,1,themes_keyword
light,1,themes_keyword
people,1,themes_keyword
stage,1,themes_keyword
change,1,themes_keyword
opinion,1,themes_keyword
pleasure,1,themes_keyword
rest,1,themes_keyword
corner,1,themes_keyword
website,1,themes_keyword
chill,1,themes_keyword
,19,emotion_keyword
send,1,emotion_keyword
great,1,emotion_keyword
opera,1,emotion_keyword
leaves,1,emotion_keyword
set,1,emotion_keyword
mesple,1,emotion_keyword
performed,1,emotion_keyword
cast,1,emotion_keyword
buying,1,emotion_keyword
describes,1,emotion_keyword
feel,1,emotion_keyword
poking,1,emotion_keyword
glorious,1,emotion_keyword
background,1,emotion_keyword
look,1,emotion_keyword
hear,1,emotion_keyword
Setting,11,theme_groups
Consumer,8,theme_groups
Occasion,6,theme_groups
Health,5,theme_groups
Brand,2,theme_groups
Complements,1,theme_groups
Customization,1,theme_groups
Place,1,theme_groups
Social_Chat,1,theme_groups
neutral,3,emotion_groups
happy,1,emotion_groups
sad,1,emotion_groups
delighted,1,emotion_groups
hopeful,1,emotion_groups
